虎子山,556.45 ,23.97387453 ,120.98202456 ,Ⅰ
牛相山,591.22 ,23.96545189 ,120.92938831 ,Ⅰ
橫屏山,1508.33 ,23.94576578 ,121.01866678 ,Ⅰ
九份二山,1173.63 ,23.93456900 ,120.84164792 ,Ⅰ
白葉山,853.24 ,23.93137858 ,120.94845008 ,Ⅰ
虎尾,30.18 ,23.71229711 ,120.43391156 ,Ⅰ
鳳凰山,1698.17 ,23.69168881 ,120.80616683 ,Ⅰ
東郡大山,3619.42 ,23.62672464 ,121.09208261 ,Ⅰ
松子腳山,145.53 ,23.53581125 ,120.48076044 ,Ⅰ
三叉山,3496.14 ,23.29716989 ,121.02866350 ,Ⅰ
卑南主山,3294.59 ,23.05116492 ,120.87418500 ,Ⅰ
西勢,20.92 ,22.62566189 ,120.52134131 ,Ⅰ
屏南工業區,16.00 ,22.40664680 ,120.57879680 ,Ⅰ
尚書林,56.92 ,22.61487233 ,120.37841672 ,Ⅰ
大漢山,1704.18 ,22.40776331 ,120.75123831 ,Ⅰ
大山母山,325.03 ,21.96835058 ,120.77890311 ,Ⅰ
王武塔山,2022.00 ,23.71595703 ,121.33450419 ,Ⅰ
美奈田主山,2931.21 ,22.97673031 ,121.00192003 ,Ⅰ
太麻里山,1339.93 ,22.64309350 ,120.95248103 ,Ⅰ
紅頭山,551.62 ,22.05299953 ,121.53458169 ,Ⅰ
大森山,482.74 ,22.01031542 ,121.58576850 ,Ⅰ
新望嶺,2481.31 ,23.29454775 ,120.78242008 ,Ⅰ
中壢埔頂,138.93 ,24.95630881 ,121.26328728 ,Ⅱ
三針後山,814.97 ,24.73716308 ,121.64564975 ,Ⅱ
高山頂,214.91 ,24.92886122 ,121.18668842 ,Ⅱ
溪南尖,301.05 ,24.92461536 ,121.39735467 ,Ⅱ
拳頭母山,1550.61 ,24.70792103 ,121.54610731 ,Ⅱ
阿玉山,1419.91 ,24.78944114 ,121.60279500 ,Ⅱ
西勢湖,390.95 ,25.25278194 ,121.60391028 ,Ⅱ
伯公岡,109.21 ,24.94071433 ,121.07263994 ,Ⅱ
石頭坑,237.06 ,24.80299869 ,121.07392264 ,Ⅱ
大湖桶山,722.59 ,24.63658019 ,121.65308642 ,Ⅱ
四十張,45.53 ,24.99664492 ,121.47872094 ,Ⅱ
羅厝,21.11 ,23.75824158 ,120.37675114 ,Ⅱ
東港大橋,2.00 ,22.47659200 ,120.46008000 ,Ⅱ
昌南,17.04 ,23.69729778 ,120.26048775 ,Ⅱ
咬狗,221.71 ,23.72262914 ,120.60979772 ,Ⅱ
樹子腳,43.49 ,23.77707622 ,120.52037997 ,Ⅱ
八分寮,207.25 ,24.71906189 ,120.99896397 ,Ⅱ
三洽水,398.21 ,24.86716306 ,121.18447625 ,Ⅱ
粗坑崙,688.62 ,24.95075197 ,121.65366900 ,Ⅱ
高埔,232.81 ,24.50650736 ,120.76087942 ,Ⅱ
獅公髻尾山,839.82 ,24.97477783 ,121.71819758 ,Ⅱ
網弦山,63.88 ,24.66008153 ,120.82983053 ,Ⅱ
溪子口山,142.65 ,24.99253239 ,121.54865642 ,Ⅱ
竹子山北峰,1079.20 ,25.21814028 ,121.56735414 ,Ⅱ
直潭山,728.84 ,24.92084975 ,121.56765408 ,Ⅱ
大湖口,183.29 ,24.85930258 ,121.05190739 ,Ⅱ
頭前,2.60 ,25.06195633 ,121.45727689 ,Ⅱ
托皿山,157.18 ,24.55596692 ,120.84630422 ,Ⅱ
阿丹,45.09 ,23.66068483 ,120.50150997 ,Ⅱ
王爺坑,462.03 ,24.76652242 ,121.11897983 ,Ⅱ
車坪寮山,699.31 ,25.13132394 ,121.60825803 ,Ⅱ
崙坪,101.66 ,25.00331967 ,121.16367914 ,Ⅱ
北坑,198.42 ,24.64672717 ,120.93403461 ,Ⅱ
水汴頭,254.44 ,25.02633083 ,121.32456133 ,Ⅱ
